股票代码,股票名称,购买股数
300502,新易盛,285
300394,天孚通信,532
688256,寒武纪,67
300308,中际旭创,284
601138,工业富联,2083
600111,北方稀土,1780
002916,深南电路,526
000617,中油资本,7710
600183,生益科技,1917
002600,领益智造,6150
002463,沪电股份,1550
688008,澜起科技,868
600160,巨化股份,2733
300033,同花顺,245
603993,洛阳钼业,8361
002074,国轩高科,3014
002241,歌尔股份,2866
302132,中航成飞,1052
000408,藏格矿业,1972
603019,中科曙光,1098
688041,海光信息,500
688082,盛美上海,617
300059,东方财富,3558
002938,鹏鼎控股,1754
688303,大全能源,3285
603986,兆易创新,618
300433,蓝思科技,3157
000776,广发证券,4585
000630,铜陵有色,22727
688981,中芯国际,877
